"Name","Key","Value"
"MT-ND2","MT-ND2","9"
"LDLR-AS1","LDLR-AS1","9"
"MT-TW","MT-TW","9"
"MT-TS1","MT-TS1","9"
"SNHG14","SNHG14","9"
"MT-TF","MT-TF","9"
"GJB2","GJB2","8"
"MT-TL1","MT-TL1","8"
"SOS2","SOS2","7"
"LOC102724058","LOC102724058","7"
"MT-CO2","MT-CO2","7"
"LOC106804612","LOC106804612","7"
"HBA2","HBA2","7"
"MYO7A","MYO7A","6"
"MT-CO3","MT-CO3","6"
"MT-CYB","MT-CYB","6"
"MT-TI","MT-TI","6"
"MT-TK","MT-TK","6"
"LOC106099062","LOC106099062","6"
"LOC107303340","LOC107303340","5"
"LOC130062945","LOC130062945","5"
"MAP2K1","MAP2K1","5"
"MT-TR","MT-TR","5"
"LOC110006319","LOC110006319","5"
"LOC126805612","LOC126805612","5"
"MRAS","MRAS","5"
"MT-TS2","MT-TS2","5"
"TNNT2","TNNT2","5"
"SLC26A4","SLC26A4","5"
"SCN3A","SCN3A","4"
"LOC128772254","LOC128772254","4"
"MT-TN","MT-TN","4"
"MYO15A","MYO15A","4"
"TPM1","TPM1","4"
"MT-TL2","MT-TL2","4"
"MYL3","MYL3","4"
"MT-TE","MT-TE","4"
"MT-TA","MT-TA","4"
"MT-TQ","MT-TQ","4"
"MT-TY","MT-TY","4"
"MYH7","MYH7","4"
"MT-ND6","MT-ND6","4"
"MT-TV","MT-TV","4"
"PPP1CB","PPP1CB","4"
"MT-ATP8","MT-ATP8","3"
"PTPN11","PTPN11","3"
"MT-TP","MT-TP","3"
"TNNI3","TNNI3","3"
"RLIG1","RLIG1","3"
"LOC130060113","LOC130060113","3"
"MT-TD","MT-TD","3"
"MT-TM","MT-TM","3"
"SGCD","SGCD","3"
"LOC130068854","LOC130068854","3"
"MT-ND4","MT-ND4","3"
"LOC130061045","LOC130061045","2"
"MT-RNR1","MT-RNR1","2"
"EFCAB13-DT","EFCAB13-DT","2"
"USH2A-AS2","USH2A-AS2","2"
"LOC126862483","LOC126862483","2"
"MT-TT","MT-TT","2"
"KCNQ1-AS1","KCNQ1-AS1","2"
"LOC130067016","LOC130067016","2"
"MYL2","MYL2","2"
"MT-TH","MT-TH","2"
"LOC126863274","LOC126863274","2"
"MIR6886","MIR6886","2"
"LOC126805793","LOC126805793","2"
"RIF1","RIF1","2"
"ACTC1","ACTC1","2"
"GJD2-DT","GJD2-DT","2"
"MT-TC","MT-TC","2"
"TCF4-AS1","TCF4-AS1","2"
"LOC130068098","LOC130068098","2"
"MT-ND3","MT-ND3","2"
"KLLN","KLLN","2"
"LOC121627832","LOC121627832","2"
"C12orf43","C12orf43","2"
"MAP2K2","MAP2K2","2"
"WRAP53","WRAP53","2"
"MT-ND4L","MT-ND4L","2"
"LOC126862757","LOC126862757","2"
"RAF1","RAF1","2"
"SHOC2","SHOC2","1"
"COCH-AS1","COCH-AS1","1"
"RIT1","RIT1","1"
"PALB2","PALB2","1"
"LOC112840921","LOC112840921","1"
"MYO6","MYO6","1"
"LOC130060983","LOC130060983","1"
"LOC113939944","LOC113939944","1"
"CDH23","CDH23","1"
"BRAF","BRAF","1"
"LOC130060044","LOC130060044","1"
"MT-RNR2","MT-RNR2","1"
"MT-TG","MT-TG","1"
"COCH","COCH","1"
"LOC130068746","LOC130068746","1"
"LOC126861898","LOC126861898","1"
"LOC129390514","LOC129390514","1"
"LOC126862571","LOC126862571","1"
"RRAS2","RRAS2","1"
"LOC106721785","LOC106721785","1"
"LOC130056921","LOC130056921","1"
"LOC129935461","LOC129935461","1"
"SOS1","SOS1","1"
"HBA1","HBA1","1"
"SCN1B","SCN1B","1"
"LOC129935434","LOC129935434","1"
"OTOF","OTOF","1"
"PKIG","PKIG","1"
"LOC130063529","LOC130063529","1"
"LOC126861615","LOC126861615","1"
"LOC121587601","LOC121587601","1"
"LOC107303343","LOC107303343","1"
"LOC122787137","LOC122787137","1"
